event,initial_day,end_day,length
1,30/11/2021,04/12/2021,5
2,06/12/2021,10/12/2021,5
3,23/12/2021,02/01/2022,11
4,05/01/2022,11/01/2022,7
5,29/01/2022,02/02/2022,5
6,07/02/2022,14/02/2022,8
7,16/02/2022,21/02/2022,6
