event,initial_day,end_day,length,type,total_area,total_mean,total_var,oceanic_area,oceanic_mean,oceanic_var
67,06/12/2006,12/12/2006,7,SACZ,96.89,195.26,461.99,26.67,198.01,389.52
68,12/01/2007,18/01/2007,7,SACZ,105.67,200.60,364.49,27.43,200.20,340.65
69,11/02/2007,15/02/2007,5,SACZOCN,103.31,192.16,506.36,34.51,187.29,486.40
70,02/11/2007,07/11/2007,6,SACZ,81.55,200.87,362.31,27.53,207.01,207.76
71,27/11/2007,02/12/2007,6,SACZ,104.12,194.97,418.18,37.17,197.39,390.33
72,06/12/2007,09/12/2007,4,SACZ,91.78,196.64,438.15,20.81,205.48,241.81
73,20/12/2007,23/12/2007,4,SACZ,78.80,200.46,334.75,27.68,201.26,263.44
74,11/01/2008,14/01/2008,4,SACZ,94.59,199.61,417.79,16.58,212.25,135.86
75,03/02/2008,06/02/2008,4,SACZ,73.11,196.66,418.42,13.01,208.30,166.73
76,10/02/2008,13/02/2008,4,SACZ,81.22,204.69,276.13,18.51,212.29,149.11
77,22/02/2008,29/02/2008,8,SACZOCN,121.50,194.72,454.22,32.85,194.08,577.79
78,05/03/2008,08/03/2008,4,SACZ,78.95,193.66,401.99,3.48,212.87,245.44
79,13/03/2008,17/03/2008,5,SACZ,97.33,195.27,380.35,28.46,200.28,323.31
80,17/11/2008,23/11/2008,7,SACZ,74.81,198.44,403.41,26.05,200.24,273.20
81,03/12/2008,07/12/2008,5,SACZ,74.05,200.45,329.51,22.05,206.71,312.04
82,11/12/2008,21/12/2008,11,SACZ,95.25,194.74,431.88,26.73,201.19,349.52
83,24/12/2008,28/12/2008,5,SACZOCN,100.84,194.29,432.33,29.04,194.25,445.26
84,31/12/2008,08/01/2009,9,SACZ,96.38,199.08,378.90,29.03,205.77,247.76
85,17/01/2009,21/01/2009,5,SACZ,114.83,195.01,477.45,32.31,204.31,295.83
86,23/01/2009,30/01/2009,8,SACZ,87.76,193.05,422.74,14.11,204.78,284.39
87,12/02/2009,17/02/2009,6,SACZ,98.74,193.32,471.01,19.56,201.74,334.30
88,12/03/2009,16/03/2009,5,SACZ,92.88,196.96,450.57,26.21,198.33,452.03
89,20/03/2009,27/03/2009,8,SACZ,101.70,196.25,345.45,24.22,199.79,355.17
90,17/01/2010,24/01/2010,8,SACZ,74.08,200.70,378.54,16.27,200.53,321.92
91,25/11/2010,06/12/2010,12,SACZ,92.19,197.93,409.77,30.92,203.03,303.58
92,13/12/2010,17/12/2010,5,SACZ,95.42,191.64,532.00,25.26,204.33,254.63
93,22/12/2010,25/12/2010,4,SACZ,92.17,204.34,291.45,22.05,202.48,296.97
94,27/12/2010,07/01/2011,12,SACZ,95.97,195.92,414.00,24.99,198.12,429.14
95,11/01/2011,16/01/2011,6,SACZ,99.42,194.90,444.02,26.32,197.29,479.64
96,01/03/2011,11/03/2011,11,SACZ,98.08,193.19,440.27,22.14,197.45,376.85
97,26/11/2011,29/11/2011,4,SACZ,64.86,197.30,328.59,19.09,202.43,298.72
98,01/12/2011,04/12/2011,4,SACZ,78.89,200.57,321.56,32.03,201.07,282.40
99,08/12/2011,12/12/2011,5,SACZOCN,103.19,197.76,422.80,43.95,195.93,422.83
100,14/12/2011,21/12/2011,8,SACZ,94.58,196.96,414.54,35.42,199.92,398.37
101,28/12/2011,09/01/2012,13,SACZ,93.99,198.19,420.53,24.52,198.10,436.63
102,13/01/2012,18/01/2012,6,SACZ,85.53,197.23,401.97,18.21,201.94,352.35
103,26/01/2012,29/01/2012,4,SACZ,88.03,198.65,387.21,19.18,202.37,258.61
104,15/03/2012,19/03/2012,5,SACZ,80.32,201.37,315.12,22.36,197.09,421.90
105,03/11/2012,06/11/2012,4,SACZOCN,86.18,197.37,335.61,23.20,196.39,285.09
106,13/11/2012,19/11/2012,7,SACZ,89.78,197.12,385.15,27.36,199.79,366.64
107,25/11/2012,28/11/2012,4,SACZ,81.64,200.41,338.83,24.84,208.43,197.23
